tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-6242,Winston-Salem,Hard,48,M,O,20260824,1,H0BH,,,Rinky Hijikata,R,178,AUS,25.498,85,709,B0NO,,,Darwin Blanch,L,185,USA,18.905,239,232,6-4 7-6(2),3,R64,98,5,3,74,46,35,14,11,5,7,6,2,66,33,26,13,11,2,5
2026-6242,Winston-Salem,Hard,48,M,O,20260824,2,B0GG,,,Mattia Bellucci,L,175,ITA,25.229,95,656,L0IL,,WC,Martin Landaluce,R,193,ESP,20.624,64,922,6-4 6-7(3) 6-1,3,R64,151,10,6,93,57,42,20,15,4,6,1,5,92,55,35,18,14,6,11
2026-6242,Winston-Salem,Hard,48,M,O,20260824,3,B0CD,,,Jenson Brooksby,R,193,USA,25.826,73,800,M0GZ,,,Giovanni Mpetshi Perricard,R,203,FRA,23.129,106,590,6-3 6-2,3,R64,60,5,0,41,28,21,11,8,0,0,6,5,56,33,22,8,9,2,6
2026-6242,Winston-Salem,Hard,48,M,O,20260824,4,C0DF,,,Francisco Comesana,R,178,ARG,25.881,122,503,WB32,,,Yibing Wu,R,183,CHN,26.861,113,551,6-3 6-4,3,R64,86,7,5,68,42,35,11,10,5,6,1,1,52,23,14,13,9,1,4
2026-6242,Winston-Salem,Hard,48,M,O,20260824,5,KI95,,,Miomir Kecmanovic,R,183,SRB,26.982,65,900,SY67,,,Sho Shimabukuro,R,180,JPN,29.068,86,705,6-4 6-3,3,R64,80,3,6,55,23,19,17,10,0,2,3,4,69,35,25,11,9,5,9
2026-6242,Winston-Salem,Hard,48,M,O,20260824,6,V0DP,,,Adolfo Daniel Vallejo,R,183,PAR,22.322,61,948,CD85,,,Pablo Carreno Busta,R,188,ESP,35.118,66,899,6-4 3-0 RET,3,R64,67,2,3,52,29,20,12,6,2,3,2,4,46,28,17,5,7,5,9
